Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5086927,209,HAK,WUH,2011-12-30,07:15:00,182,189,[Y],32,1
Relation:couple,coflycnt
55969441,55969445,1
96209853,0,-1.0,-1.0,-1.0,-1.0
96209854,0,-1.0,-1.0,-1.0,-1.0
96209855,0,-1.0,-1.0,-1.0,-1.0
96209856,0,-1.0,-1.0,-1.0,-1.0
96209857,0,-1.0,-1.0,-1.0,-1.0
96209858,0,-1.0,-1.0,-1.0,-1.0
96209859,0,-1.0,-1.0,-1.0,-1.0
96209860,0,-1.0,-1.0,-1.0,-1.0
96209861,0,-1.0,-1.0,-1.0,-1.0
96209862,0,-1.0,-1.0,-1.0,-1.0
Allocation:pid,cabin,row,col,new_rate
95844702,3,13,4,-1.0
95844701,3,13,3,-1.0
20085366,3,6,3,0.6653827372185206
95844698,3,13,2,-1.0
11656935,3,2,4,0.5964328095979161
95844697,3,13,1,-1.0
21800598,3,3,6,0.704097507001241
95844694,3,12,6,-1.0
95844692,3,12,4,-1.0
95844693,3,12,5,-1.0
95844690,3,12,2,-1.0
30784783,3,7,1,0.6069926148306062
95844691,3,12,3,-1.0
65951635,3,3,1,-1.0
95844688,3,11,6,-1.0
95844689,3,12,1,-1.0
95844687,3,11,5,-1.0
95844686,3,11,4,-1.0
95844685,3,11,3,-1.0
95844684,3,11,2,-1.0
11336789,3,4,4,0.789446805042392
95844683,3,11,1,-1.0
95844682,3,10,6,-1.0
8464049,3,17,6,0.6907632487334969
70339565,3,5,4,0.6718498432426792
95844732,3,21,6,-1.0
95844733,3,22,1,-1.0
49265905,3,22,2,0.7884615399999999
95844734,3,22,6,-1.0
95844728,3,16,3,-1.0
10331970,3,21,4,0.8640081799999998
95844729,3,16,4,-1.0
7525763,3,1,2,0.5480728066470476
95844730,3,16,5,-1.0
7525762,3,19,2,0.5848177249579142
10331968,3,21,5,0.86451943
95844731,3,16,6,-1.0
95844724,3,15,5,-1.0
95844725,3,15,6,-1.0
5131481,3,17,1,0.6645951308236446
95844726,3,16,1,-1.0
95844727,3,16,2,-1.0
95844720,3,15,1,-1.0
6693929,3,18,2,0.6079111097905805
95844721,3,15,2,-1.0
6226867,3,17,3,0.6022262022959002
6985811,3,3,4,0.6300839065096449
95844722,3,15,3,-1.0
95844723,3,15,4,-1.0
95844717,3,14,5,-1.0
55828958,3,8,2,0.7074019522824259
9579115,3,2,1,0.7988216625005099
95844718,3,14,6,-1.0
34062977,3,5,2,0.5784644880199254
95844712,3,14,3,-1.0
78155314,3,20,4,0.5719821888819719
95844715,3,14,4,-1.0
95844709,3,13,6,-1.0
13750342,3,5,6,0.8195558495425466
95844708,3,13,5,-1.0
95844711,3,14,2,-1.0
95844710,3,14,1,-1.0
84124557,3,21,2,0.6016698221983152
31649196,3,9,1,-1.0
19693962,3,7,4,0.6790986396320027
70277530,3,3,2,0.6497144676887601
15718998,3,19,6,0.9877300713333262
61175420,3,20,3,0.7043463293949812
56226083,3,4,1,0.7001398956755239
75574260,3,8,3,0.7609641864194712
332905,3,5,3,0.564057727360317
60141160,3,21,1,0.8282208533333331
56960298,3,24,3,0.990797537199992
11387826,3,4,5,0.7292063343874162
23697435,3,5,5,0.9784172689999996
30408025,3,7,2,0.5898464821120792
39709852,3,22,5,0.82208589
39435621,3,6,4,0.5485565015017106
95811036,3,10,5,-1.0
66867631,3,5,1,0.6468274270323304
35391830,3,8,5,0.6070385671117469
26168416,3,4,2,0.7519767250732646
95487081,3,8,4,0.9815950973333329
95811034,3,10,3,-1.0
68072545,3,6,6,0.831792782990844
95811035,3,19,3,-1.0
64914509,3,9,2,0.71337581
96209849,3,29,3,-1.0
96209848,3,29,2,-1.0
96209851,3,29,5,-1.0
96209850,3,29,4,-1.0
96209853,3,30,1,-1.0
96209852,3,29,6,-1.0
96209855,3,30,3,-1.0
96209854,3,30,2,-1.0
96209841,3,27,6,-1.0
96209840,3,27,5,-1.0
95915361,3,20,1,-1.0
96209843,3,28,3,-1.0
96209842,3,28,2,-1.0
35756883,3,9,4,-1.0
96209845,3,28,5,-1.0
96209844,3,28,4,-1.0
96209847,3,29,1,-1.0
