Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5073325,429,HRB,KMG,2011-12-28,18:35:00,128,134,[F,Y],51,31
Relation:couple,coflycnt
11329382,3,34,1,0.8325340799999994
37125448,3,31,2,0.738102435787834
46234031,3,46,6,0.59390522293462
52634191,3,32,5,0.8361260337305504
56501392,3,48,5,0.7830002110926999
52634199,3,43,1,0.6938775821588141
2106697,3,48,1,-1.0
52634198,3,49,2,0.7945642922388196
59826754,3,35,5,0.8354795115840469
59826755,3,35,4,0.720083066418795
52634195,3,51,5,0.6991711536924692
52634204,3,47,2,0.6923575336995396
3118557,3,33,2,0.7697653399798015
30728469,3,42,5,0.615564647735455
3118556,3,33,3,0.8124625880061567
2106694,3,32,4,0.5710295759932511
3118555,3,33,4,0.7173103596842005
2106695,3,34,2,0.7675509749422035
65975315,3,38,2,0.6802721
85392205,3,39,1,0.802447555
85392206,3,39,2,0.800699295
85861371,3,39,6,0.906040255333333
45478604,3,35,1,0.6419500161160259
45995596,3,49,4,0.6209895936692024
65666205,3,50,5,0.7140284759490114
96060860,3,50,2,-1.0
96060861,3,50,4,-1.0
71393142,3,35,6,0.9678783456666656
96060856,3,43,2,-1.0
96060857,3,49,5,-1.0
96060858,3,49,6,-1.0
57617293,3,35,2,0.7859428498808372
96060859,3,46,3,-1.0
96060852,3,51,6,-1.0
96060853,3,46,2,-1.0
59506373,3,36,6,0.7166346005925637
95689803,3,35,3,0.7042401220456236
96060854,3,38,4,-1.0
96060855,3,49,1,-1.0
96060848,3,41,6,-1.0
96060849,3,49,3,-1.0
96060850,3,47,1,-1.0
96060851,3,47,6,-1.0
96060845,3,41,5,-1.0
96060844,3,41,4,-1.0
84824075,3,37,6,0.70968449
96060841,3,48,6,-1.0
15598831,3,31,1,0.6013389615529097
96060840,3,40,5,-1.0
96060843,3,41,3,-1.0
96060842,3,41,2,-1.0
96060837,3,40,2,-1.0
96060836,3,39,5,-1.0
96060839,3,40,4,-1.0
96060838,3,40,3,-1.0
96060833,3,41,1,-1.0
96060832,3,38,3,-1.0
96060835,3,38,6,-1.0
96060834,3,39,4,-1.0
85216795,3,42,2,0.74149659
7404543,3,31,6,0.8861815748626012
85199809,3,50,3,0.8098159533333331
53458293,3,42,4,0.8289902756958984
86258802,3,40,1,0.9417177973333333
19668948,3,31,3,0.7616255332601124
51334934,3,37,3,0.7366346559645925
12890155,3,33,1,0.8182717423797494
59779827,3,32,6,0.5821566897073274
51334933,3,36,5,0.7461483772127261
53096817,3,51,2,0.7839115104658361
43028507,3,34,5,0.6573026090290652
51334940,3,38,5,0.7121879816347674
51334941,3,37,2,0.7668174136141283
51334939,3,37,1,0.7301971126820224
40844930,3,36,1,0.9844890534999999
51334951,3,51,4,0.8100032389377562
40844931,3,36,2,0.9827025189999995
27704030,3,48,4,0.7785459647626484
51334947,3,43,5,0.7284708602699883
51334946,3,47,5,0.735047177809289
46100782,3,34,3,0.6777583557698522
51334952,3,47,4,0.7613737775712802
31752555,3,42,3,0.6832577799999997
31752554,3,50,1,0.5778965032472833
16881311,3,31,4,0.6989612536621532
95630279,3,44,5,0.7668428218407717
95630278,3,46,5,0.7263185502467071
85848852,3,48,2,0.65034965
95630277,3,39,3,0.7224254683854654
95630276,3,43,4,0.7603541039963629
34602623,3,45,1,0.7929631948766301
95630283,3,44,4,0.772760821491306
95630282,3,43,3,0.7553416367117953
95630281,3,46,4,0.7181819930914126
95630280,3,44,2,0.7654840754762278
95630286,3,42,1,0.7600974407064183
95630285,3,42,6,0.7435578033214626
95630284,3,44,3,0.7739255195768271
